8	50	5					
360	70	
1	-50	0	2	8	2		
2	-35	35	2	1	2		
3	0	50	2	6	2		
4	35	35	2	14	2		
5	50	0	2	3	2		
6	35	-35	2	5	2		
7	0	-50	2	6	2		
8	-35	0.35	2	7	2		
1	-44.629	-55.64	6	11	1 0 1 0 1	1	67
2	36.096	64.935	16	11	1 0 1 0 1	4	125
3	-25.47	44.58	7	23	1 0 1 0 1	1	64
4	-33.954	-73.059	20	16	1 0 1 0 1	4	122
5	45.654	35.73	7	16	1 0 1 0 1	5	53
6	14.954	-36.719	8	2	1 0 1 0 1	4	69
7	-1.477	47.205	4	1	1 0 1 0 1	4	97
8	2.155	-40.912	23	25	1 0 1 0 1	1	146
9	22.992	1.398	4	24	1 0 1 0 1	3	99
10	-28.857	5.957	5	14	1 0 1 0 1	7	115
11	-48.12	94.116	15	6	1 0 0 1 0	4	150
12	7.239	17.322	12	20	1 0 0 1 0	4	117
13	4.614	27.051	12	10	1 0 0 1 0	8	135
14	-13.971	28.198	18	11	1 0 0 1 0	3	91
15	12.946	-11.688	19	2	1 0 0 1 0	5	61
16	-36.67	23.102	17	22	1 0 0 1 0	8	105
17	-4.224	-49.31	2	2	1 0 0 1 0	7	143
18	1.093	-7.135	15	12	1 0 0 1 0	2	114
19	-56.958	27.905	10	9	1 0 0 1 0	1	120
20	-80.994	-77.686	3	21	1 0 0 1 0	8	124
21	72.26	59.027	24	10	0 1 0 0 1	4	95
22	-21.655	1.636	1	13	0 1 0 0 1	4	92
23	-20.154	-62.415	22	25	0 1 0 0 1	5	75
24	-48.157	6.287	22	9	0 1 0 0 1	4	96
25	-5.078	61.597	17	19	0 1 0 0 1	3	128
26	17.145	-47.046	7	22	0 1 0 0 1	1	92
27	-16.064	8.557	11	4	0 1 0 0 1	3	127
28	6.683	-27.069	4	4	0 1 0 0 1	1	115
29	15.027	-34.979	15	7	0 1 0 0 1	8	98
30	37.946	73.914	15	20	0 1 0 0 1	7	62
31	-41.199	-43.018	9	17	1 0 0 0 0	4	99
32	32.538	11.786	15	19	0 1 0 0 0	6	144
33	-20.306	-20.239	1	12	0 0 1 0 0	4	78
34	-35.48	19.135	13	2	0 0 0 1 0	1	64
35	58.038	56.659	17	13	0 0 0 0 1	6	142
36	-36.694	-6.256	17	24	0 1 1 1 1	7	128
37	0.446	-46.735	25	22	0 1 1 1 1	3	71
38	-19.69	38.977	5	17	0 1 1 1 1	8	147
39	-47.339	20.911	25	19	0 1 1 1 1	6	115
40	-79.236	-57.678	2	4	0 1 1 1 1	4	84
41	5.597	-34.076	9	12	0 1 1 1 0	3	117
42	34.454	-8.289	7	22	0 1 1 1 0	1	58
43	18.5	-51.154	5	2	0 1 1 1 0	7	121
44	-4.346	-44.525	3	19	0 1 1 1 0	7	75
45	-14.148	-74.164	17	3	0 1 1 1 0	8	51
46	19.867	77.515	12	5	0 1 1 1 0	4	95
47	-50.079	17.871	21	22	0 1 1 1 0	4	72
48	42.786	-79.883	18	6	0 1 1 1 0	6	128
49	1.52	-29.034	8	9	0 1 1 1 0	6	103
50	14.728	-3.436	14	8	0 1 1 1 0	8	94
593.046 91.8079 534.697 1124.78 117.2 513.158 539.082 617.146	
