4	20	4					
360	70						
0	-40.082	-24.78	2	8	2		
1	24.292	-27.704	2	5	2		
2	-45.877	41.092	2	5	2		
3	-11.896	15.875	2	2	2		
4	-55.28	-24.371	25	9	1 0 0 1	2	114
5	-48.297	53.314	13	22	1 0 0 1	1	63
6	-49.072	-38.489	20	10	0 1 1 0	3	122
7	25.311	-18.561	16	24	1 0 1 0	2	122
8	-24.469	-3.815	4	25	0 1 0 1	2	110
9	24.591	-17.896	2	6	1 1 1 0	4	54
10	-10.419	60.364	7	22	1 1 0 1	1	101
11	38.177	-35.175	15	1	1 0 1 1	1	81
12	-68.28	93.073	10	19	1 0 0 1	1	140
13	-30.792	-57.336	4	19	0 1 1 0	2	77
14	-37.061	-12.122	19	5	1 0 1 0	3	139
15	-15.741	-47.638	10	9	1 0 1 0	3	98
16	-63.379	-22.919	15	8	1 0 1 0	4	74
17	-43.109	-43.439	4	14	0 1 0 1	1	50
18	-25.623	13.599	17	4	0 1 0 1	1	53
19	-2.625	16.632	4	7	0 1 0 1	3	67
20	-41.577	-28.497	3	10	1 0 0 0	2	59
21	2.081	12.885	9	22	0 1 0 0	1	128
22	3.925	-47.845	25	17	0 0 1 0	1	71
23	-83.295	26.324	14	10	0 0 0 1	3	147
557.767 416.815 495.878 77.5979 
