8	50	5					
360	70	
1	-50	0	2	8	2		
2	-35	35	2	8	2		
3	0	50	2	5	2		
4	35	35	2	9	2		
5	50	0	2	4	2		
6	35	-35	2	7	2		
7	0	-50	2	6	2		
8	-35	0.35	2	3	2		
1	-92.7	-59.18	8	20	1 0 1 0 1	2	71
2	71.179	12.543	15	6	1 0 1 0 1	4	75
3	31.537	66.638	20	19	1 0 1 0 1	6	63
4	-4.694	25.537	7	10	1 0 1 0 1	3	116
5	-30.194	67.773	13	18	1 0 1 0 1	3	81
6	12.677	-57.471	6	1	1 0 1 0 1	5	148
7	-32.355	-20.966	5	15	1 0 1 0 1	1	71
8	19.91	48.975	1	23	1 0 1 0 1	4	137
9	13.202	-19.135	12	13	1 0 1 0 1	3	142
10	54.877	-41.168	18	12	1 0 1 0 1	4	127
11	15.063	-25.171	25	7	1 0 0 1 0	2	115
12	-50.598	-16.418	14	25	1 0 0 1 0	4	150
13	-29.73	17.078	18	5	1 0 0 1 0	4	126
14	17.542	1.575	13	1	1 0 0 1 0	6	82
15	11.127	77.216	6	25	1 0 0 1 0	2	115
16	33.752	71.259	14	10	1 0 0 1 0	3	56
17	-56.012	-10.394	10	2	1 0 0 1 0	5	134
18	57.874	-16.29	18	7	1 0 0 1 0	1	88
19	10.718	-18.787	8	11	1 0 0 1 0	1	110
20	53.088	-18.75	6	4	1 0 0 1 0	1	67
21	1.569	7.532	2	6	0 1 0 0 1	4	138
22	31.531	48.944	4	15	0 1 0 0 1	6	108
23	-66.833	-37.854	4	7	0 1 0 0 1	4	69
24	-70.74	62.244	23	8	0 1 0 0 1	6	142
25	32.538	23.096	12	10	0 1 0 0 1	8	93
26	-51.453	-36.444	24	9	0 1 0 0 1	3	64
27	36.456	-22.638	17	4	0 1 0 0 1	4	52
28	-31.207	43.494	18	6	0 1 0 0 1	1	50
29	-10.388	34.491	25	22	0 1 0 0 1	2	81
30	14.722	-10.834	22	17	0 1 0 0 1	5	79
31	47.095	-21.387	10	9	1 0 0 0 0	1	87
32	43.781	34.766	25	25	0 1 0 0 0	7	68
33	53.546	-67.487	21	10	0 0 1 0 0	4	113
34	26.801	46.515	21	18	0 0 0 1 0	1	80
35	63.385	11.981	16	21	0 0 0 0 1	2	142
36	47.192	-5.475	23	10	0 1 1 1 1	1	58
37	-16.315	-11.267	21	23	0 1 1 1 1	7	104
38	78.9	17.651	15	23	0 1 1 1 1	2	101
39	79.822	22.272	7	11	0 1 1 1 1	7	54
40	12.878	16.919	20	1	0 1 1 1 1	8	90
41	-67.981	-3.754	6	23	0 1 1 1 0	6	59
42	9.198	-18.597	16	16	0 1 1 1 0	7	74
43	-35.95	-19.141	10	10	0 1 1 1 0	7	93
44	28.766	45.276	7	12	0 1 1 1 0	8	69
45	11.469	68.231	20	12	0 1 1 1 0	2	91
46	-22.76	45.496	9	3	0 1 1 1 0	2	101
47	-65.674	-23.12	12	22	0 1 1 1 0	6	52
48	7.239	1.599	10	21	0 1 1 1 0	6	53
49	-29.785	-11.285	19	13	0 1 1 1 0	5	74
50	-89.05	16.211	6	15	0 1 1 1 0	7	107
491.862 621.146 355.764 826.683 335.239 368.408 336.949 188.335	
