4	20	4					
360	70						
0	-3.799	44.29	2	6	2		
1	14.233	21.173	2	6	2		
2	-23.334	-28.397	2	4	2		
3	10.065	1.822	2	4	2		
6	-40.289	-42.303	6	20	1 0 0 1	4	112
7	-64.709	-17.389	3	10	1 0 0 1	2	132
8	5.06	-14.349	23	8	0 1 1 0	2	96
9	72.095	20.233	1	6	1 0 1 0	3	111
10	2.594	-15.002	18	1	0 1 0 1	4	63
11	-24.176	-72.894	8	19	1 1 1 0	3	95
12	-13.19	66.498	2	13	1 1 0 1	2	120
13	33.191	13.69	9	24	1 0 1 1	3	120
14	66.827	-30.554	1	15	1 0 0 1	3	148
15	19.934	35.883	20	13	0 1 1 0	2	145
16	-27.771	32.269	23	10	1 0 1 0	1	59
17	51.154	-16.827	22	4	1 0 1 0	1	85
18	-19.214	23.749	24	12	1 0 1 0	1	90
19	-46.643	-52.954	21	21	0 1 0 1	2	71
20	-10.59	-16.626	18	2	0 1 0 1	1	122
21	35.15	12.622	21	10	0 1 0 1	1	91
22	-37.378	12.256	7	20	1 0 0 0	2	78
23	82.794	25.836	4	9	0 1 0 0	4	57
24	8.936	-3.723	21	24	0 0 1 0	4	50
25	-56.659	25.555	13	19	0 0 0 1	1	72
439.656 550.116 384.052 235.358 
